colour,code,degree,R,G,B
blue1,#CBCDDD,1,203,205,221
blue1,#7D86AA,2,125,134,170
blue1,#00205B,3,0,32,91
blue2,#D3DEDD,1,211,222,221
blue2,#92ADAB,2,146,173,171
blue2,#245B56,3,36,91,86
blue3,#D2EDED,1,210,237,237
blue3,#90D1D2,2,144,209,210
blue3,#20A3A5,3,32,163,165
blue4,#CCF1F9,1,204,241,249
blue4,#80DEF0,2,128,222,240
blue4,#00BCE2,3,0,188,226
blue5,#E1F1FC,1,225,241,252
blue5,#B3DDF8,2,179,221,248
blue5,#67BAF0,3,103,186,240
blue6,#E0FCFD,1,224,252,253
blue6,#B2F7F9,2,178,247,249
blue6,#65EFF3,3,101,239,243
green1,#D3EBDB,1,211,235,219
green1,#92CCA5,2,146,204,165
green1,#24994B,3,36,153,75
green2,#E1EEDD,1,225,238,221
green2,#B3D3AA,2,179,211,170
green2,#67A854,3,103,168,84
green3,#F1F7DC,1,241,247,220
green3,#DEEBA8,2,222,235,168
green3,#BCD651,3,188,214,81
green4,#F8FCE8,1,248,252,232
green4,#EEF8C5,2,238,248,197
green4,#DDF18B,3,221,241,139
orange1,#FCEDD5,1,252,237,213
orange1,#F8D296,2,248,210,150
orange1,#F1A42D,3,241,164,45
orange2,#FCEAE2,1,252,234,226
orange2,#F7CAB6,2,247,202,182
orange2,#EF966C,3,239,150,108
red1,#E3D2D7,1,227,210,215
red1,#B98F9A,2,185,143,154
red1,#721E35,3,114,30,53
red2,#F7D7DB,1,247,215,219
red2,#EB9CA4,2,235,156,164
red2,#D63949,3,214,57,73
purple1,#E8DEE7,1,232,222,231
purple1,#C6ADC2,2,198,173,194
purple1,#8E5B84,3,142,91,132
purple2,#F4E0ED,1,244,224,237
purple2,#E3B0D2,2,227,176,210
purple2,#C762A5,3,199,98,165
