PROC,GROUP,NAME
sfy_hist_serv_reset,input,sfy_hist_sd_loc
sfy_hist_serv_reset,input,sfy_hist_serv_reset
sfy_hist_serv_reset,input,sfy_param_refresh
sfy_hist_risk_reset,input,sfy_hist_sd_loc
sfy_hist_risk_reset,input,sfy_hist_risk_reset
sfy_hist_risk_reset,input,sfy_param_refresh
sfy_hist_risk_reset,input,sfy_hist_serv_reset
sfy_hist_risk_reset,sfy_panel,param_serv_ind
sfy_map,sfy_panel,map_data
sfy_map,sfy_panel,param_serv_ind
sfy_map,sfy_panel,param_risk_ind
sfy_map,sfy_panel,param_area_ind
sfy_map,input,sfy_map_risk_serv_switch
sfy_map_reset,input,sfy_param_refresh
sfy_map_reset,input,sfy_map_reset
sfy_hl_data,sfy_panel,param_serv_ind
sfy_hl_data,sfy_panel,param_risk_ind
sfy_hl_data,sfy_panel,base_data
cyar_hist_risk_reset,input,cyar_param_age
cyar_hist_risk_reset,input,cyar_param_year
cyar_hist_risk_reset,input,cyar_hist_risk_reset
cyar_filtered_data,input,cyar_param_risk_ind
cyar_filtered_data,input,cyar_param_year
cyar_filtered_data,cyar_panel,base_data
cyar_filtered_data,cyar_panel,national_base_data
cyar_map,cyar_panel,map_filtered_data
cyar_map,input,cyar_param_gender_ind
cyar_map,input,cyar_param_sd_loc
cyar_map,cyar_panel,param_area_ind
cyar_map,input,cyar_map_reset
cyar_map_reset,input,cyar_map_reset
tyo_map,tyo_panel,map_filtered_data
tyo_map,input,tyo_param_map_trac_ind
tyo_map,input,tyo_param_map_age_group
tyo_map,input,tyo_param_map_risk
tyo_map,input,tyo_param_map_metric
tyo_map,tyo_panel,param_area_ind
tyo_map,input,tyo_param_map_refresh
tyo_map,input,tyo_param_year
tyo_param_map_refresh,input,tyo_param_map_refresh
