eth,year,x_gender_desc,age_desc,all,all_risk_1,all_risk_2,all_risk_3,all_risk_4,all_risk_5,all_risk_6
ALL,2013,All,06-14,517900,443036,74864,26580,4718,0,0
ALL,2013,Female,06-14,252825,216292,36533,13015,2310,0,0
ALL,2013,Male,06-14,265075,226744,38331,13565,2408,0,0
ALL,2013,All,00-05,359070,304239,54831,20274,3867,0,0
ALL,2013,Female,00-05,174610,148023,26587,9778,1887,0,0
ALL,2013,Male,00-05,184460,156216,28244,10496,1980,0,0
ALL,2013,All,15-19,292764,6208,11433,7290,14743,18184,41118
ALL,2013,Female,15-19,142554,2094,5107,7290,0,9072,17231
ALL,2013,Male,15-19,150210,4114,6326,0,14743,9112,23887
ALL,2013,All,20-24,292314,8456,9237,2268,6151,4586,28083
ALL,2013,Female,20-24,143073,1089,2943,1177,5940,1953,11411
ALL,2013,Male,20-24,149241,7367,6294,1091,211,2633,16672
Asian,2013,All,06-14,48536,46937,1599,366,40,0,0
Asian,2013,Female,06-14,23523,22749,774,173,15,0,0
Asian,2013,Male,06-14,25013,24188,825,193,25,0,0
Asian,2013,All,00-05,43328,42205,1123,257,26,0,0
Asian,2013,Female,00-05,21059,20535,524,109,14,0,0
Asian,2013,Male,00-05,22269,21670,599,148,12,0,0
Asian,2013,All,15-19,24107,329,193,138,228,229,909
Asian,2013,Female,15-19,11570,120,93,138,0,124,369
Asian,2013,Male,15-19,12537,209,100,0,228,105,540
Asian,2013,All,20-24,24849,127,81,31,59,231,506
Asian,2013,Female,20-24,12315,11,22,13,57,92,180
Asian,2013,Male,20-24,12534,116,59,18,2,139,326
European,2013,All,06-14,334269,303447,30822,10397,1844,0,0
European,2013,Female,06-14,163257,148158,15099,5147,911,0,0
European,2013,Male,06-14,171012,155289,15723,5250,933,0,0
European,2013,All,00-05,227163,204283,22880,8087,1533,0,0
European,2013,Female,00-05,110732,99528,11204,3957,760,0,0
European,2013,Male,00-05,116431,104755,11676,4130,773,0,0
European,2013,All,15-19,171712,3577,6211,2912,5913,7236,18749
European,2013,Female,15-19,83259,1256,2807,2912,0,3586,7744
European,2013,Male,15-19,88453,2321,3404,0,5913,3650,11005
European,2013,All,20-24,172439,3417,4476,1314,2569,2819,13418
European,2013,Female,20-24,84442,414,1363,691,2519,1229,5481
European,2013,Male,20-24,87997,3003,3113,623,50,1590,7937
Maori,2013,All,06-14,108288,67691,40597,16011,2945,0,0
Maori,2013,Female,06-14,52140,32506,19634,7739,1425,0,0
Maori,2013,Male,06-14,56148,35185,20963,8272,1520,0,0
Maori,2013,All,00-05,83581,51560,32021,12991,2561,0,0
Maori,2013,Female,00-05,40153,24762,15391,6175,1239,0,0
Maori,2013,Male,00-05,43428,26798,16630,6816,1322,0,0
Maori,2013,All,15-19,46096,1498,4090,3111,6379,8358,15690
Maori,2013,Female,15-19,22346,482,1793,3111,0,4175,6756
Maori,2013,Male,15-19,23750,1016,2297,0,6379,4183,8934
Maori,2013,All,20-24,45048,3658,3619,649,2907,938,10607
Maori,2013,Female,20-24,22487,547,1323,341,2792,377,4566
Maori,2013,Male,20-24,22561,3111,2296,308,115,561,6041
Other,2013,All,06-14,7020,6565,455,99,6,0,0
Other,2013,Female,06-14,3403,3188,215,37,,0,0
Other,2013,Male,06-14,3617,3377,240,62,6,0,0
Other,2013,All,00-05,6637,6087,550,120,15,0,0
Other,2013,Female,00-05,3200,2949,251,59,7,0,0
Other,2013,Male,00-05,3437,3138,299,61,8,0,0
Other,2013,All,15-19,3860,68,80,53,76,77,279
Other,2013,Female,15-19,1869,29,45,53,0,45,131
Other,2013,Male,15-19,1991,39,35,0,76,32,148
Other,2013,All,20-24,4166,68,41,14,17,39,168
Other,2013,Female,20-24,2110,3,6,6,17,16,44
Other,2013,Male,20-24,2056,65,35,8,0,23,124
Pacific Islander,2013,All,06-14,58405,46155,12250,3816,605,0,0
Pacific Islander,2013,Female,06-14,28342,22384,5958,1890,306,0,0
Pacific Islander,2013,Male,06-14,30063,23771,6292,1926,299,0,0
Pacific Islander,2013,All,00-05,45590,36275,9315,2939,507,0,0
