year,reg,age_desc,x_gender_desc,all,all_risk_1,all_risk_2,all_risk_3,all_risk_4,all_risk_5,all_risk_6
2013,Area Outside Region,00-05,All,21,18,0,0,0,0,0
2013,Area Outside Region,00-05,Female,15,12,0,0,0,0,0
2013,Area Outside Region,00-05,Male,6,6,0,0,0,0,0
2013,Area Outside Region,06-14,All,48,42,0,0,0,0,0
2013,Area Outside Region,06-14,Female,21,18,0,0,0,0,0
2013,Area Outside Region,06-14,Male,24,21,0,0,0,0,0
2013,Area Outside Region,15-19,All,9,0,0,0,0,0,0
2013,Area Outside Region,15-19,Female,0,0,0,0,0,0,0
2013,Area Outside Region,15-19,Male,0,0,0,0,0,0,0
2013,Area Outside Region,20-24,All,21,0,0,0,0,0,0
2013,Area Outside Region,20-24,Female,0,0,0,0,0,0,0
2013,Area Outside Region,20-24,Male,18,0,0,0,0,0,0
2013,Auckland Region,00-05,All,127272,111138,16134,5733,1032,0,0
2013,Auckland Region,00-05,Female,61611,53868,7740,2769,513,0,0
2013,Auckland Region,00-05,Male,65661,57267,8394,2967,519,0,0
2013,Auckland Region,06-14,All,175776,153510,22266,7929,1422,0,0
2013,Auckland Region,06-14,Female,85533,74598,10935,3930,690,0,0
2013,Auckland Region,06-14,Male,90243,78912,11331,3996,732,0,0
2013,Auckland Region,15-19,All,98868,1929,2838,2202,3723,4812,11337
2013,Auckland Region,15-19,Female,48558,633,1260,2202,0,2448,4914
2013,Auckland Region,15-19,Male,50310,1299,1575,0,3723,2361,6420
2013,Auckland Region,20-24,All,103053,2034,2127,594,1779,1269,7212
2013,Auckland Region,20-24,Female,51297,246,600,291,1701,558,3039
2013,Auckland Region,20-24,Male,51759,1785,1530,303,81,711,4173
2013,Bay of Plenty Region,00-05,All,23562,18399,5163,1944,318,0,0
2013,Bay of Plenty Region,00-05,Female,11460,8949,2511,957,165,0,0
2013,Bay of Plenty Region,00-05,Male,12102,9450,2652,987,156,0,0
2013,Bay of Plenty Region,06-14,All,35895,29007,6888,2364,369,0,0
2013,Bay of Plenty Region,06-14,Female,17307,13992,3315,1122,195,0,0
2013,Bay of Plenty Region,06-14,Male,18591,15018,3573,1242,177,0,0
2013,Bay of Plenty Region,15-19,All,19398,435,1053,594,1452,1569,3576
2013,Bay of Plenty Region,15-19,Female,9450,135,471,594,0,804,1461
2013,Bay of Plenty Region,15-19,Male,9948,297,579,0,1452,765,2115
2013,Bay of Plenty Region,20-24,All,15759,834,786,177,561,291,2382
2013,Bay of Plenty Region,20-24,Female,7692,108,276,81,534,129,948
2013,Bay of Plenty Region,20-24,Male,8067,729,507,96,27,159,1431
2013,Canterbury Region,00-05,All,40203,35718,4485,1722,354,0,0
2013,Canterbury Region,00-05,Female,19590,17427,2163,843,168,0,0
2013,Canterbury Region,00-05,Male,20613,18291,2322,879,186,0,0
2013,Canterbury Region,06-14,All,59673,53415,6258,2292,435,0,0
2013,Canterbury Region,06-14,Female,29214,26121,3093,1146,237,0,0
2013,Canterbury Region,06-14,Male,30456,27291,3165,1143,201,0,0
2013,Canterbury Region,15-19,All,35247,693,1242,696,1539,1857,4230
2013,Canterbury Region,15-19,Female,16908,249,570,696,0,894,1731
2013,Canterbury Region,15-19,Male,18339,441,672,0,1536,963,2499
2013,Canterbury Region,20-24,All,37155,957,1128,291,501,597,3207
2013,Canterbury Region,20-24,Female,17157,96,312,168,495,267,1173
2013,Canterbury Region,20-24,Male,19998,858,816,123,0,330,2034
2013,Gisborne Region,00-05,All,4479,3255,1224,489,87,0,0
2013,Gisborne Region,00-05,Female,2163,1554,609,249,45,0,0
2013,Gisborne Region,00-05,Male,2319,1701,618,240,42,0,0
2013,Gisborne Region,06-14,All,6654,5028,1626,549,93,0,0
2013,Gisborne Region,06-14,Female,3186,2406,780,258,39,0,0
2013,Gisborne Region,06-14,Male,3465,2619,846,288,54,0,0
2013,Gisborne Region,15-19,All,3528,96,240,168,294,369,807
2013,Gisborne Region,15-19,Female,1755,36,108,168,0,186,369
2013,Gisborne Region,15-19,Male,1776,60,132,0,294,183,438
2013,Gisborne Region,20-24,All,2943,198,195,21,144,72,579
2013,Gisborne Region,20-24,Female,1401,30,75,12,138,33,249
2013,Gisborne Region,20-24,Male,1542,171,123,9,0,39,330
2013,Hawke's Bay Region,00-05,All,13575,10440,3135,1128,231,0,0
2013,Hawke's Bay Region,00-05,Female,6750,5172,1578,555,120,0,0
2013,Hawke's Bay Region,00-05,Male,6825,5265,1557,573,108,0,0
2013,Hawke's Bay Region,06-14,All,20031,15903,4128,1437,282,0,0
2013,Hawke's Bay Region,06-14,Female,9921,7851,2064,726,159,0,0
2013,Hawke's Bay Region,06-14,Male,10110,8049,2061,708,126,0,0
2013,Hawke's Bay Region,15-19,All,11130,222,507,384,786,978,2025
2013,Hawke's Bay Region,15-19,Female,5415,75,234,384,0,495,849
2013,Hawke's Bay Region,15-19,Male,5715,150,276,0,786,483,1179
2013,Hawke's Bay Region,20-24,All,8715,447,477,108,345,192,1428
2013,Hawke's Bay Region,20-24,Female,4368,66,162,60,333,78,606
2013,Hawke's Bay Region,20-24,Male,4347,384,315,51,12,114,822
2013,Manawatu-Wanganui Region,00-05,All,18603,14796,3807,1479,312,0,0
2013,Manawatu-Wanganui Region,00-05,Female,9117,7254,1860,711,141,0,0
2013,Manawatu-Wanganui Region,00-05,Male,9486,7542,1947,768,171,0,0
2013,Manawatu-Wanganui Region,06-14,All,27255,22110,5148,1872,345,0,0
2013,Manawatu-Wanganui Region,06-14,Female,13308,10803,2508,918,159,0,0
2013,Manawatu-Wanganui Region,06-14,Male,13947,11307,2640,954,183,0,0
2013,Manawatu-Wanganui Region,15-19,All,15687,423,789,516,1029,1365,2847
2013,Manawatu-Wanganui Region,15-19,Female,7620,141,321,516,0,657,1212
2013,Manawatu-Wanganui Region,15-19,Male,8064,282,471,0,1029,711,1638
