year,reg,tla,age_desc,x_gender_desc,all,all_risk_1,all_risk_2,all_risk_3,all_risk_4,all_risk_5,all_risk_6
2013,Area Outside Region,Chatham Islands Territory,00-05,All,21,18,0,0,0,0,0
2013,Area Outside Region,Chatham Islands Territory,00-05,Female,15,12,0,0,0,0,0
2013,Area Outside Region,Chatham Islands Territory,00-05,Male,6,6,0,0,0,0,0
2013,Area Outside Region,Chatham Islands Territory,06-14,All,48,42,0,0,0,0,0
2013,Area Outside Region,Chatham Islands Territory,06-14,Female,21,18,0,0,0,0,0
2013,Area Outside Region,Chatham Islands Territory,06-14,Male,24,21,0,0,0,0,0
2013,Area Outside Region,Chatham Islands Territory,15-19,All,9,0,0,0,0,0,0
2013,Area Outside Region,Chatham Islands Territory,15-19,Female,0,0,0,0,0,0,0
2013,Area Outside Region,Chatham Islands Territory,15-19,Male,0,0,0,0,0,0,0
2013,Area Outside Region,Chatham Islands Territory,20-24,All,21,0,0,0,0,0,0
2013,Area Outside Region,Chatham Islands Territory,20-24,Female,0,0,0,0,0,0,0
2013,Area Outside Region,Chatham Islands Territory,20-24,Male,18,0,0,0,0,0,0
2013,Auckland Region,Albany Ward,00-05,All,10272,9774,495,165,30,0,0
2013,Auckland Region,Albany Ward,00-05,Female,4995,4758,240,72,9,0,0
2013,Auckland Region,Albany Ward,00-05,Male,5277,5019,258,93,18,0,0
2013,Auckland Region,Albany Ward,06-14,All,16863,16149,714,240,36,0,0
2013,Auckland Region,Albany Ward,06-14,Female,8271,7944,324,111,18,0,0
2013,Auckland Region,Albany Ward,06-14,Male,8595,8205,387,129,18,0,0
2013,Auckland Region,Albany Ward,15-19,All,10158,129,192,60,192,156,579
2013,Auckland Region,Albany Ward,15-19,Female,5010,45,84,60,0,78,216
2013,Auckland Region,Albany Ward,15-19,Male,5148,84,108,0,192,78,363
2013,Auckland Region,Albany Ward,20-24,All,9138,69,120,39,54,99,366
2013,Auckland Region,Albany Ward,20-24,Female,4353,0,27,27,51,39,135
2013,Auckland Region,Albany Ward,20-24,Male,4779,63,93,15,0,63,231
2013,Auckland Region,Albert-Eden-Roskill Ward,00-05,All,11184,10437,744,216,27,0,0
2013,Auckland Region,Albert-Eden-Roskill Ward,00-05,Female,5466,5112,354,99,9,0,0
2013,Auckland Region,Albert-Eden-Roskill Ward,00-05,Male,5718,5328,393,117,15,0,0
2013,Auckland Region,Albert-Eden-Roskill Ward,06-14,All,16065,15006,1056,348,57,0,0
2013,Auckland Region,Albert-Eden-Roskill Ward,06-14,Female,7833,7308,525,174,21,0,0
2013,Auckland Region,Albert-Eden-Roskill Ward,06-14,Male,8229,7698,531,177,33,0,0
2013,Auckland Region,Albert-Eden-Roskill Ward,15-19,All,9780,162,177,120,210,291,744
2013,Auckland Region,Albert-Eden-Roskill Ward,15-19,Female,4755,54,75,120,0,138,297
2013,Auckland Region,Albert-Eden-Roskill Ward,15-19,Male,5028,111,105,0,213,153,447
2013,Auckland Region,Albert-Eden-Roskill Ward,20-24,All,11223,138,120,48,60,117,441
2013,Auckland Region,Albert-Eden-Roskill Ward,20-24,Female,5628,9,33,15,60,51,150
2013,Auckland Region,Albert-Eden-Roskill Ward,20-24,Male,5595,129,84,33,0,66,294
2013,Auckland Region,Franklin Ward,00-05,All,5550,4860,693,258,42,0,0
2013,Auckland Region,Franklin Ward,00-05,Female,2691,2367,321,123,21,0,0
2013,Auckland Region,Franklin Ward,00-05,Male,2859,2490,369,135,18,0,0
2013,Auckland Region,Franklin Ward,06-14,All,9255,8253,999,366,66,0,0
2013,Auckland Region,Franklin Ward,06-14,Female,4416,3945,474,159,18,0,0
2013,Auckland Region,Franklin Ward,06-14,Male,4839,4311,528,207,45,0,0
2013,Auckland Region,Franklin Ward,15-19,All,4815,93,132,93,159,195,510
2013,Auckland Region,Franklin Ward,15-19,Female,2328,39,63,96,0,99,210
2013,Auckland Region,Franklin Ward,15-19,Male,2484,54,69,0,159,96,297
2013,Auckland Region,Franklin Ward,20-24,All,3804,78,102,15,66,60,297
2013,Auckland Region,Franklin Ward,20-24,Female,1830,9,24,0,57,30,117
2013,Auckland Region,Franklin Ward,20-24,Male,1974,66,75,9,6,30,180
2013,Auckland Region,Howick Ward,00-05,All,9645,9219,426,144,21,0,0
2013,Auckland Region,Howick Ward,00-05,Female,4635,4440,198,66,12,0,0
2013,Auckland Region,Howick Ward,00-05,Male,5010,4779,231,78,12,0,0
2013,Auckland Region,Howick Ward,06-14,All,15267,14604,663,192,27,0,0
2013,Auckland Region,Howick Ward,06-14,Female,7299,6966,333,90,15,0,0
2013,Auckland Region,Howick Ward,06-14,Male,7965,7641,327,102,15,0,0
2013,Auckland Region,Howick Ward,15-19,All,9180,135,165,57,138,132,510
2013,Auckland Region,Howick Ward,15-19,Female,4479,45,75,57,0,69,198
2013,Auckland Region,Howick Ward,15-19,Male,4704,90,90,0,141,60,315
2013,Auckland Region,Howick Ward,20-24,All,8466,78,78,15,51,87,291
2013,Auckland Region,Howick Ward,20-24,Female,4083,9,15,6,51,39,105
2013,Auckland Region,Howick Ward,20-24,Male,4383,72,63,9,0,48,186
2013,Auckland Region,Manukau Ward,00-05,All,18591,14862,3726,1200,198,0,0
2013,Auckland Region,Manukau Ward,00-05,Female,8940,7110,1830,582,108,0,0
2013,Auckland Region,Manukau Ward,00-05,Male,9654,7755,1899,615,93,0,0
2013,Auckland Region,Manukau Ward,06-14,All,24336,19008,5331,1785,285,0,0
2013,Auckland Region,Manukau Ward,06-14,Female,11898,9261,2640,882,138,0,0
2013,Auckland Region,Manukau Ward,06-14,Male,12435,9744,2691,900,147,0,0
2013,Auckland Region,Manukau Ward,15-19,All,13077,276,489,519,798,948,2226
2013,Auckland Region,Manukau Ward,15-19,Female,6480,75,219,522,0,501,1011
2013,Auckland Region,Manukau Ward,15-19,Male,6597,201,270,0,798,444,1212
2013,Auckland Region,Manukau Ward,20-24,All,13104,453,375,90,384,183,1368
2013,Auckland Region,Manukau Ward,20-24,Female,6711,51,108,36,363,69,564
2013,Auckland Region,Manukau Ward,20-24,Male,6393,402,264,54,21,111,804
2013,Auckland Region,Manurewa-Papakura Ward,00-05,All,15903,11526,4377,1728,330,0,0
2013,Auckland Region,Manurewa-Papakura Ward,00-05,Female,7734,5625,2109,837,177,0,0
2013,Auckland Region,Manurewa-Papakura Ward,00-05,Male,8169,5901,2268,894,156,0,0
2013,Auckland Region,Manurewa-Papakura Ward,06-14,All,20205,14787,5418,2136,420,0,0
2013,Auckland Region,Manurewa-Papakura Ward,06-14,Female,9936,7266,2670,1083,213,0,0
2013,Auckland Region,Manurewa-Papakura Ward,06-14,Male,10269,7521,2748,1050,207,0,0
2013,Auckland Region,Manurewa-Papakura Ward,15-19,All,10479,312,540,558,789,1158,2265
2013,Auckland Region,Manurewa-Papakura Ward,15-19,Female,5232,99,231,558,0,594,1059
2013,Auckland Region,Manurewa-Papakura Ward,15-19,Male,5247,213,312,0,789,561,1206
2013,Auckland Region,Manurewa-Papakura Ward,20-24,All,10905,474,411,108,507,189,1545
2013,Auckland Region,Manurewa-Papakura Ward,20-24,Female,5577,75,138,60,486,87,747
2013,Auckland Region,Manurewa-Papakura Ward,20-24,Male,5331,399,270,48,21,102,798
2013,Auckland Region,Maungakiekie-Tamaki Ward,00-05,All,7650,6432,1218,435,81,0,0
2013,Auckland Region,Maungakiekie-Tamaki Ward,00-05,Female,3651,3057,591,225,42,0,0
2013,Auckland Region,Maungakiekie-Tamaki Ward,00-05,Male,3999,3375,627,207,39,0,0
2013,Auckland Region,Maungakiekie-Tamaki Ward,06-14,All,8583,6843,1740,612,105,0,0
2013,Auckland Region,Maungakiekie-Tamaki Ward,06-14,Female,4236,3378,858,300,57,0,0
2013,Auckland Region,Maungakiekie-Tamaki Ward,06-14,Male,4347,3465,882,312,48,0,0
2013,Auckland Region,Maungakiekie-Tamaki Ward,15-19,All,4344,120,183,150,270,360,768
2013,Auckland Region,Maungakiekie-Tamaki Ward,15-19,Female,2139,45,75,150,0,192,339
2013,Auckland Region,Maungakiekie-Tamaki Ward,15-19,Male,2205,78,105,0,267,168,432
2013,Auckland Region,Maungakiekie-Tamaki Ward,20-24,All,5364,141,153,39,141,78,504
2013,Auckland Region,Maungakiekie-Tamaki Ward,20-24,Female,2772,15,48,24,135,36,228
2013,Auckland Region,Maungakiekie-Tamaki Ward,20-24,Male,2589,126,105,15,0,42,276
2013,Auckland Region,North Shore Ward,00-05,All,11355,10722,630,198,33,0,0
2013,Auckland Region,North Shore Ward,00-05,Female,5556,5265,291,93,12,0,0
2013,Auckland Region,North Shore Ward,00-05,Male,5799,5460,339,105,21,0,0
2013,Auckland Region,North Shore Ward,06-14,All,14595,13641,954,321,57,0,0
2013,Auckland Region,North Shore Ward,06-14,Female,7074,6615,459,156,24,0,0
2013,Auckland Region,North Shore Ward,06-14,Male,7521,7023,495,165,36,0,0
2013,Auckland Region,North Shore Ward,15-19,All,8673,141,198,99,216,255,696
2013,Auckland Region,North Shore Ward,15-19,Female,4191,51,84,96,0,129,285
2013,Auckland Region,North Shore Ward,15-19,Male,4482,93,114,0,219,126,405
2013,Auckland Region,North Shore Ward,20-24,All,9408,105,138,39,69,84,408
2013,Auckland Region,North Shore Ward,20-24,Female,4635,12,33,18,69,42,156
2013,Auckland Region,North Shore Ward,20-24,Male,4770,93,105,21,0,45,255
2013,Auckland Region,Orakei Ward,00-05,All,5577,5445,132,48,9,0,0
2013,Auckland Region,Orakei Ward,00-05,Female,2715,2655,60,24,6,0,0
2013,Auckland Region,Orakei Ward,00-05,Male,2862,2790,69,27,0,0,0
2013,Auckland Region,Orakei Ward,06-14,All,9039,8841,201,75,9,0,0
2013,Auckland Region,Orakei Ward,06-14,Female,4377,4278,102,42,0,0,0
2013,Auckland Region,Orakei Ward,06-14,Male,4662,4566,99,33,0,0,0
2013,Auckland Region,Orakei Ward,15-19,All,4689,45,66,21,48,66,213
2013,Auckland Region,Orakei Ward,15-19,Female,2268,12,39,21,0,42,99
2013,Auckland Region,Orakei Ward,15-19,Male,2421,33,27,0,51,21,114
2013,Auckland Region,Orakei Ward,20-24,All,4617,27,36,12,15,39,123
2013,Auckland Region,Orakei Ward,20-24,Female,2319,0,12,0,18,15,45
2013,Auckland Region,Orakei Ward,20-24,Male,2301,24,24,6,0,21,75
2013,Auckland Region,Rodney Ward,00-05,All,4026,3654,372,120,24,0,0
2013,Auckland Region,Rodney Ward,00-05,Female,1935,1755,180,60,12,0,0
2013,Auckland Region,Rodney Ward,00-05,Male,2088,1896,192,57,12,0,0
2013,Auckland Region,Rodney Ward,06-14,All,7437,6792,642,198,42,0,0
2013,Auckland Region,Rodney Ward,06-14,Female,3612,3291,324,111,27,0,0
2013,Auckland Region,Rodney Ward,06-14,Male,3822,3501,321,87,18,0,0
2013,Auckland Region,Rodney Ward,15-19,All,3813,87,108,51,114,120,366
2013,Auckland Region,Rodney Ward,15-19,Female,1878,30,45,48,0,60,141
2013,Auckland Region,Rodney Ward,15-19,Male,1935,57,63,0,111,60,225
2013,Auckland Region,Rodney Ward,20-24,All,2829,54,84,27,33,39,219
2013,Auckland Region,Rodney Ward,20-24,Female,1323,6,15,12,33,15,72
2013,Auckland Region,Rodney Ward,20-24,Male,1509,48,69,15,0,21,144
2013,Auckland Region,Waitakere Ward,00-05,All,16617,14193,2424,903,183,0,0
2013,Auckland Region,Waitakere Ward,00-05,Female,8013,6882,1128,429,78,0,0
2013,Auckland Region,Waitakere Ward,00-05,Male,8607,7311,1293,474,108,0,0
2013,Auckland Region,Waitakere Ward,06-14,All,20985,17691,3294,1233,246,0,0
2013,Auckland Region,Waitakere Ward,06-14,Female,10173,8556,1617,615,123,0,0
2013,Auckland Region,Waitakere Ward,06-14,Male,10815,9138,1677,618,123,0,0
2013,Auckland Region,Waitakere Ward,15-19,All,11322,282,414,330,516,756,1650
2013,Auckland Region,Waitakere Ward,15-19,Female,5592,90,192,330,0,369,735
2013,Auckland Region,Waitakere Ward,15-19,Male,5733,192,222,0,516,384,915
2013,Auckland Region,Waitakere Ward,20-24,All,11454,267,330,90,285,183,1068
2013,Auckland Region,Waitakere Ward,20-24,Female,5655,33,87,54,267,75,459
2013,Auckland Region,Waitakere Ward,20-24,Male,5802,237,243,36,15,105,609
2013,Auckland Region,Waitemata and Gulf Ward,00-05,All,4041,3870,171,63,6,0,0
2013,Auckland Region,Waitemata and Gulf Ward,00-05,Female,1950,1869,81,30,0,0,0
2013,Auckland Region,Waitemata and Gulf Ward,00-05,Male,2091,2001,90,33,0,0,0
2013,Auckland Region,Waitemata and Gulf Ward,06-14,All,5022,4782,240,75,12,0,0
2013,Auckland Region,Waitemata and Gulf Ward,06-14,Female,2481,2361,123,42,6,0,0
2013,Auckland Region,Waitemata and Gulf Ward,06-14,Male,2541,2421,120,36,0,0,0
2013,Auckland Region,Waitemata and Gulf Ward,15-19,All,3717,48,60,27,81,90,216
2013,Auckland Region,Waitemata and Gulf Ward,15-19,Female,1899,18,30,24,0,39,81
2013,Auckland Region,Waitemata and Gulf Ward,15-19,Male,1815,33,33,0,78,48,135
2013,Auckland Region,Waitemata and Gulf Ward,20-24,All,7485,51,72,30,18,42,195
2013,Auckland Region,Waitemata and Gulf Ward,20-24,Female,3774,0,21,15,18,24,69
2013,Auckland Region,Waitemata and Gulf Ward,20-24,Male,3714,48,54,12,0,18,126
2013,Auckland Region,Whau Ward,00-05,All,6864,6138,726,264,45,0,0
2013,Auckland Region,Whau Ward,00-05,Female,3336,2973,363,129,24,0,0
2013,Auckland Region,Whau Ward,00-05,Male,3528,3168,363,135,18,0,0
2013,Auckland Region,Whau Ward,06-14,All,8121,7113,1011,354,63,0,0
2013,Auckland Region,Whau Ward,06-14,Female,3921,3432,489,171,30,0,0
2013,Auckland Region,Whau Ward,06-14,Male,4200,3678,522,186,33,0,0
2013,Auckland Region,Whau Ward,15-19,All,4818,96,111,117,192,288,597
2013,Auckland Region,Whau Ward,15-19,Female,2307,33,54,114,0,135,246
2013,Auckland Region,Whau Ward,15-19,Male,2511,63,63,0,192,156,351
2013,Auckland Region,Whau Ward,20-24,All,5259,93,111,42,99,69,384
2013,Auckland Region,Whau Ward,20-24,Female,2637,12,33,21,93,39,186
2013,Auckland Region,Whau Ward,20-24,Male,2619,84,75,24,0,33,198
2013,Bay of Plenty Region,Kawerau District,00-05,All,684,354,327,141,24,0,0
2013,Bay of Plenty Region,Kawerau District,00-05,Female,333,171,165,69,15,0,0
2013,Bay of Plenty Region,Kawerau District,00-05,Male,351,183,165,72,9,0,0
2013,Bay of Plenty Region,Kawerau District,06-14,All,960,561,399,123,18,0,0
2013,Bay of Plenty Region,Kawerau District,06-14,Female,435,252,183,54,9,0,0
2013,Bay of Plenty Region,Kawerau District,06-14,Male,528,309,219,69,9,0,0
2013,Bay of Plenty Region,Kawerau District,15-19,All,507,18,54,39,66,90,177
2013,Bay of Plenty Region,Kawerau District,15-19,Female,267,6,27,39,0,51,87
2013,Bay of Plenty Region,Kawerau District,15-19,Male,243,12,27,0,66,36,90
2013,Bay of Plenty Region,Kawerau District,20-24,All,438,45,36,6,33,15,120
2013,Bay of Plenty Region,Kawerau District,20-24,Female,204,9,12,0,33,6,48
2013,Bay of Plenty Region,Kawerau District,20-24,Male,234,42,24,0,0,9,69
2013,Bay of Plenty Region,Mount Maunganui-Papamoa Ward,00-05,All,3492,3048,447,156,27,0,0
2013,Bay of Plenty Region,Mount Maunganui-Papamoa Ward,00-05,Female,1734,1521,213,84,15,0,0
2013,Bay of Plenty Region,Mount Maunganui-Papamoa Ward,00-05,Male,1761,1527,234,72,12,0,0
2013,Bay of Plenty Region,Mount Maunganui-Papamoa Ward,06-14,All,4905,4296,609,192,30,0,0
2013,Bay of Plenty Region,Mount Maunganui-Papamoa Ward,06-14,Female,2379,2061,318,114,15,0,0
2013,Bay of Plenty Region,Mount Maunganui-Papamoa Ward,06-14,Male,2526,2235,291,78,12,0,0
2013,Bay of Plenty Region,Mount Maunganui-Papamoa Ward,15-19,All,2499,45,111,45,144,138,354
2013,Bay of Plenty Region,Mount Maunganui-Papamoa Ward,15-19,Female,1203,12,42,45,0,66,132
2013,Bay of Plenty Region,Mount Maunganui-Papamoa Ward,15-19,Male,1296,30,69,0,144,72,225
2013,Bay of Plenty Region,Mount Maunganui-Papamoa Ward,20-24,All,2229,102,87,33,48,36,273
2013,Bay of Plenty Region,Mount Maunganui-Papamoa Ward,20-24,Female,1065,12,27,12,45,18,96
2013,Bay of Plenty Region,Mount Maunganui-Papamoa Ward,20-24,Male,1164,90,60,21,0,18,174
2013,Bay of Plenty Region,Opotiki District,00-05,All,774,462,309,141,39,0,0
2013,Bay of Plenty Region,Opotiki District,00-05,Female,366,222,144,66,18,0,0
2013,Bay of Plenty Region,Opotiki District,00-05,Male,408,240,168,78,21,0,0
2013,Bay of Plenty Region,Opotiki District,06-14,All,1263,858,405,153,30,0,0
2013,Bay of Plenty Region,Opotiki District,06-14,Female,594,405,186,69,12,0,0
2013,Bay of Plenty Region,Opotiki District,06-14,Male,672,453,219,84,15,0,0
2013,Bay of Plenty Region,Opotiki District,15-19,All,627,21,45,42,69,93,183
2013,Bay of Plenty Region,Opotiki District,15-19,Female,312,0,12,39,0,48,78
2013,Bay of Plenty Region,Opotiki District,15-19,Male,318,18,30,0,69,45,105
2013,Bay of Plenty Region,Opotiki District,20-24,All,513,45,33,0,21,12,111
2013,Bay of Plenty Region,Opotiki District,20-24,Female,240,6,12,0,21,0,36
2013,Bay of Plenty Region,Opotiki District,20-24,Male,273,42,24,0,0,6,72
2013,Bay of Plenty Region,Otumoetai-Pyes Pa Ward,00-05,All,2994,2634,357,111,21,0,0
2013,Bay of Plenty Region,Otumoetai-Pyes Pa Ward,00-05,Female,1458,1281,177,57,12,0,0
2013,Bay of Plenty Region,Otumoetai-Pyes Pa Ward,00-05,Male,1533,1353,180,57,9,0,0
2013,Bay of Plenty Region,Otumoetai-Pyes Pa Ward,06-14,All,4815,4332,483,147,27,0,0
2013,Bay of Plenty Region,Otumoetai-Pyes Pa Ward,06-14,Female,2325,2094,234,78,18,0,0
2013,Bay of Plenty Region,Otumoetai-Pyes Pa Ward,06-14,Male,2490,2238,249,69,9,0,0
2013,Bay of Plenty Region,Otumoetai-Pyes Pa Ward,15-19,All,2727,45,117,48,117,144,330
2013,Bay of Plenty Region,Otumoetai-Pyes Pa Ward,15-19,Female,1314,18,60,48,0,72,135
2013,Bay of Plenty Region,Otumoetai-Pyes Pa Ward,15-19,Male,1413,27,54,0,114,69,192
2013,Bay of Plenty Region,Otumoetai-Pyes Pa Ward,20-24,All,1980,81,66,21,57,30,231
2013,Bay of Plenty Region,Otumoetai-Pyes Pa Ward,20-24,Female,1023,6,27,9,54,15,96
2013,Bay of Plenty Region,Otumoetai-Pyes Pa Ward,20-24,Male,957,75,36,15,0,15,138
2013,Bay of Plenty Region,Rotorua District,00-05,All,6069,4431,1638,582,75,0,0
2013,Bay of Plenty Region,Rotorua District,00-05,Female,2961,2148,813,288,33,0,0
2013,Bay of Plenty Region,Rotorua District,00-05,Male,3108,2283,825,291,39,0,0
2013,Bay of Plenty Region,Rotorua District,06-14,All,9069,6963,2106,705,90,0,0
2013,Bay of Plenty Region,Rotorua District,06-14,Female,4311,3324,987,321,42,0,0
2013,Bay of Plenty Region,Rotorua District,06-14,Male,4758,3639,1119,384,45,0,0
2013,Bay of Plenty Region,Rotorua District,15-19,All,4944,138,285,204,453,480,1089
2013,Bay of Plenty Region,Rotorua District,15-19,Female,2463,45,123,207,0,249,447
2013,Bay of Plenty Region,Rotorua District,15-19,Male,2481,90,162,0,453,231,642
2013,Bay of Plenty Region,Rotorua District,20-24,All,4185,234,246,39,198,78,699
2013,Bay of Plenty Region,Rotorua District,20-24,Female,2079,27,90,18,186,27,285
2013,Bay of Plenty Region,Rotorua District,20-24,Male,2109,207,153,21,12,51,414
2013,Bay of Plenty Region,Taupo District,00-05,All,12,15,0,0,0,0,0
2013,Bay of Plenty Region,Taupo District,00-05,Female,0,0,0,0,0,0,0
2013,Bay of Plenty Region,Taupo District,00-05,Male,12,9,0,0,0,0,0
2013,Bay of Plenty Region,Taupo District,06-14,All,15,9,0,0,0,0,0
2013,Bay of Plenty Region,Taupo District,06-14,Female,0,0,0,0,0,0,0
2013,Bay of Plenty Region,Taupo District,06-14,Male,9,6,0,0,0,0,0
2013,Bay of Plenty Region,Taupo District,15-19,All,9,0,0,0,0,0,0
2013,Bay of Plenty Region,Taupo District,15-19,Female,0,0,0,0,0,0,0
2013,Bay of Plenty Region,Taupo District,15-19,Male,6,0,0,0,0,0,0
2013,Bay of Plenty Region,Taupo District,20-24,All,12,0,0,0,0,0,0
2013,Bay of Plenty Region,Taupo District,20-24,Female,6,0,0,0,0,0,0
2013,Bay of Plenty Region,Taupo District,20-24,Male,6,0,0,0,0,0,0
2013,Bay of Plenty Region,Te Papa-Welcome Bay Ward,00-05,All,3225,2511,714,288,51,0,0
2013,Bay of Plenty Region,Te Papa-Welcome Bay Ward,00-05,Female,1545,1200,345,135,24,0,0
2013,Bay of Plenty Region,Te Papa-Welcome Bay Ward,00-05,Male,1680,1311,369,153,24,0,0
2013,Bay of Plenty Region,Te Papa-Welcome Bay Ward,06-14,All,4551,3594,957,390,69,0,0
2013,Bay of Plenty Region,Te Papa-Welcome Bay Ward,06-14,Female,2229,1758,471,195,39,0,0
2013,Bay of Plenty Region,Te Papa-Welcome Bay Ward,06-14,Male,2325,1836,489,198,30,0,0
2013,Bay of Plenty Region,Te Papa-Welcome Bay Ward,15-19,All,2508,48,144,75,210,222,492
2013,Bay of Plenty Region,Te Papa-Welcome Bay Ward,15-19,Female,1209,9,69,78,0,120,201
2013,Bay of Plenty Region,Te Papa-Welcome Bay Ward,15-19,Male,1296,36,72,0,207,102,291
2013,Bay of Plenty Region,Te Papa-Welcome Bay Ward,20-24,All,2361,126,132,42,90,48,393
2013,Bay of Plenty Region,Te Papa-Welcome Bay Ward,20-24,Female,1194,21,39,21,87,24,168
2013,Bay of Plenty Region,Te Papa-Welcome Bay Ward,20-24,Male,1167,102,93,21,0,24,228
2013,Bay of Plenty Region,Western Bay of Plenty District,00-05,All,3252,2742,510,183,30,0,0
2013,Bay of Plenty Region,Western Bay of Plenty District,00-05,Female,1512,1278,234,90,18,0,0
2013,Bay of Plenty Region,Western Bay of Plenty District,00-05,Male,1740,1464,276,96,12,0,0
2013,Bay of Plenty Region,Western Bay of Plenty District,06-14,All,5430,4734,699,222,45,0,0
2013,Bay of Plenty Region,Western Bay of Plenty District,06-14,Female,2664,2310,354,99,21,0,0
2013,Bay of Plenty Region,Western Bay of Plenty District,06-14,Male,2763,2421,342,120,24,0,0
2013,Bay of Plenty Region,Western Bay of Plenty District,15-19,All,3060,51,129,48,171,156,408
2013,Bay of Plenty Region,Western Bay of Plenty District,15-19,Female,1479,18,63,48,0,75,156
2013,Bay of Plenty Region,Western Bay of Plenty District,15-19,Male,1581,36,66,0,171,78,252
2013,Bay of Plenty Region,Western Bay of Plenty District,20-24,All,2115,99,87,21,45,36,255
2013,Bay of Plenty Region,Western Bay of Plenty District,20-24,Female,951,15,30,15,45,15,96
2013,Bay of Plenty Region,Western Bay of Plenty District,20-24,Male,1164,84,57,6,0,21,162
2013,Bay of Plenty Region,Whakatane District,00-05,All,3060,2202,858,336,48,0,0
2013,Bay of Plenty Region,Whakatane District,00-05,Female,1542,1122,420,171,27,0,0
