Indicators ,Descriptions,Shortened,Period,Education,Employment,FLAG_KEEP
year,"Calendar year covered (2013, 2014, 2015)",Year,1,1,1,1
schter_1519,In education when aged 15 to 19 (0=All 15-19 year olds / 1=Only 15-19 year olds at school or tertiary),In education,1,1,0,1
ben_1524,On benefit when aged 15 to 24 (0=All 15-24 year olds / 1=Only 15-24 year olds on benefit),On Benefit,1,0,1,1
count,rounded and supressed ( <12)  counts of people in each group,Total,1,1,1,1
count,rounded and supressed ( <12)  counts of people in each group,Total,5,1,1,1
edu_alt_1yr,rounded and supressed ( <12)  counts of people accessing alternative education services in the last year,Alternative Education Services,1,1,0,1
edu_truatt_1yr,rounded and supressed ( <12)  counts of people accessing truancy (non-attendance) services in the last year,Truancy (Non-Attendance) Services,1,1,0,1
edu_truenr_1yr,rounded and supressed ( <12)  counts of people accessing truancy (non-enrolment) services in the last year,Truancy (Non-Enrolment) Services,1,1,0,1
edu_sed_1yr,rounded and supressed ( <12)  counts of people accessing special education services in the last year,Special Education Services,1,1,0,1
edu_esol_1yr,rounded and supressed ( <12)  counts of people accessing ESOL services in the last year,Esol Services,1,1,0,0
edu_hlth_1yr,rounded and supressed ( <12)  counts of people accessing health checks in the last year,Health Checks,1,1,0,0
edu_gway_1yr,rounded and supressed ( <12)  counts of people accessing gateway service in the last year,Gateway Programme,1,1,0,1
edu_ster_1yr,rounded and supressed ( <12)  counts of people accessing secondary tertiary programmes in the last year,Secondary Tertiary Programmes,1,1,0,1
edu_irf_1yr,rounded and supressed ( <12)  counts of people accessing interim response fund services in the last year,Interim Response Fund Services,1,1,0,1
edu_home_1yr,rounded and supressed ( <12)  counts of people accessing home schooling in the last year,Home Schooling,1,1,0,0
edu_rr_1yr,rounded and supressed ( <12)  counts of people accessing reading recovery services in the last year,Reading Recovery Services,1,1,0,1
edu_rtlb_1yr,rounded and supressed ( <12)  counts of people accessing resource teachers: learning and behaviour services in the last year,Resource Teachers: Learning And Behaviour Services,1,1,0,1
edu_it_1yr,rounded and supressed ( <12)  counts of people accessing industry training in the last year,Industry Training,1,1,0,1
