year,riskgrp,reg,tla,age_desc,ben_1524,count,emp_info_1yr,emp_place_1yr,emp_skill_1yr,emp_ws_1yr,emp_other_1yr,emp_1yr,emp_info_5yr,emp_place_5yr,emp_skill_5yr,emp_ws_5yr,emp_other_5yr,emp_5yr,emp_ys_1yr,emp_ysneetyts_1yr,emp_ysypypp_1yr,emp_ys_5yr,emp_ysneetyts_5yr,emp_ysypypp_5yr,x_gender_desc
2013,0,Auckland Region,Albany Ward,15-19,0,9576,51,33,21,0,0,279,96,45,24,0,0,345,210,168,48,231,192,51,All
2013,0,Auckland Region,Albany Ward,15-19,0,4794,24,15,0,0,0,156,45,18,0,0,0,186,120,93,36,135,108,39,Female
2013,0,Auckland Region,Albany Ward,15-19,0,4782,30,21,12,0,0,126,51,27,15,0,0,156,87,75,12,93,84,15,Male
2013,0,Auckland Region,Albany Ward,15-19,1,327,45,27,21,0,0,105,72,39,21,0,0,129,42,0,39,48,15,36,All
2013,0,Auckland Region,Albany Ward,15-19,1,177,21,12,0,0,0,57,33,15,0,0,0,66,27,0,24,33,0,27,Female
2013,0,Auckland Region,Albany Ward,15-19,1,150,24,18,12,0,0,48,39,24,12,0,0,63,15,0,0,18,0,0,Male
2013,0,Auckland Region,Albany Ward,20-24,0,8769,213,129,48,21,0,288,1059,495,231,63,243,1359,0,0,0,108,105,0,All
2013,0,Auckland Region,Albany Ward,20-24,0,4221,90,51,21,0,0,120,453,195,114,30,87,606,0,0,0,63,63,0,Female
2013,0,Auckland Region,Albany Ward,20-24,0,4551,120,81,24,0,0,168,609,300,117,33,159,756,0,0,0,45,45,0,Male
2013,0,Auckland Region,Albany Ward,20-24,1,1290,183,120,45,18,0,255,465,270,135,33,81,561,0,0,0,30,30,0,All
2013,0,Auckland Region,Albany Ward,20-24,1,726,81,48,21,0,0,108,228,117,72,15,36,288,0,0,0,24,21,0,Female
2013,0,Auckland Region,Albany Ward,20-24,1,567,102,75,24,0,0,147,237,153,60,18,45,273,0,0,0,0,0,0,Male
2013,0,Auckland Region,Albert-Eden-Roskill Ward,15-19,0,9036,54,30,24,0,0,327,84,57,27,15,0,492,252,216,45,387,351,45,All
2013,0,Auckland Region,Albert-Eden-Roskill Ward,15-19,0,4458,24,15,15,0,0,183,36,30,18,0,0,276,150,126,27,228,201,30,Female
2013,0,Auckland Region,Albert-Eden-Roskill Ward,15-19,0,4578,30,18,0,0,0,144,51,24,0,0,0,213,105,93,15,162,150,15,Male
2013,0,Auckland Region,Albert-Eden-Roskill Ward,15-19,1,447,45,27,21,0,0,111,57,36,27,12,0,147,48,12,36,78,48,36,All
2013,0,Auckland Region,Albert-Eden-Roskill Ward,15-19,1,246,21,15,15,0,0,66,27,18,18,0,0,87,36,0,27,57,33,27,Female
2013,0,Auckland Region,Albert-Eden-Roskill Ward,15-19,1,204,21,15,0,0,0,45,30,18,0,0,0,60,15,0,0,24,15,0,Male
2013,0,Auckland Region,Albert-Eden-Roskill Ward,20-24,0,10779,282,243,105,48,12,495,1266,726,372,102,237,2142,0,0,0,687,687,0,All
2013,0,Auckland Region,Albert-Eden-Roskill Ward,20-24,0,5478,120,114,57,18,0,234,588,336,198,33,105,1044,0,0,0,363,363,0,Female
2013,0,Auckland Region,Albert-Eden-Roskill Ward,20-24,0,5301,159,129,48,27,0,261,678,390,174,69,132,1098,0,0,0,324,321,0,Male
2013,0,Auckland Region,Albert-Eden-Roskill Ward,20-24,1,2022,267,219,105,45,12,453,702,411,231,63,99,969,0,0,0,204,201,0,All
2013,0,Auckland Region,Albert-Eden-Roskill Ward,20-24,1,1116,111,102,57,18,0,210,342,201,132,21,45,498,0,0,0,117,114,0,Female
2013,0,Auckland Region,Albert-Eden-Roskill Ward,20-24,1,903,153,120,48,30,0,246,360,210,102,42,54,471,0,0,0,87,87,0,Male
2013,0,Auckland Region,Franklin Ward,15-19,0,4305,0,15,0,0,0,207,30,27,15,12,0,288,168,147,21,228,207,24,All
2013,0,Auckland Region,Franklin Ward,15-19,0,2118,0,0,0,0,0,120,15,0,12,0,0,162,102,87,18,132,117,18,Female
2013,0,Auckland Region,Franklin Ward,15-19,0,2187,0,15,0,0,0,84,15,18,0,0,0,126,66,63,0,96,93,0,Male
2013,0,Auckland Region,Franklin Ward,15-19,1,180,0,0,0,0,0,57,15,15,15,0,0,69,24,0,15,33,18,18,All
2013,0,Auckland Region,Franklin Ward,15-19,1,111,0,0,0,0,0,36,0,0,0,0,0,42,18,0,12,21,12,12,Female
2013,0,Auckland Region,Franklin Ward,15-19,1,72,0,0,0,0,0,21,0,0,0,0,0,24,0,0,0,0,0,0,Male
2013,0,Auckland Region,Franklin Ward,20-24,0,3507,36,57,18,24,0,123,501,249,120,72,123,918,0,0,0,348,348,0,All
2013,0,Auckland Region,Franklin Ward,20-24,0,1710,24,21,12,0,0,63,249,114,72,27,42,474,0,0,0,195,189,0,Female
2013,0,Auckland Region,Franklin Ward,20-24,0,1797,15,36,0,15,0,57,255,138,48,45,81,444,0,0,0,156,156,0,Male
2013,0,Auckland Region,Franklin Ward,20-24,1,642,36,54,18,24,0,117,255,129,81,42,48,363,0,0,0,87,84,0,All
