year,riskgrp,age_desc,ben_1524,count,emp_info_1yr,emp_place_1yr,emp_skill_1yr,emp_ws_1yr,emp_other_1yr,emp_1yr,emp_info_5yr,emp_place_5yr,emp_skill_5yr,emp_ws_5yr,emp_other_5yr,emp_5yr,emp_ys_1yr,emp_ysneetyts_1yr,emp_ysypypp_1yr,emp_ys_5yr,emp_ysneetyts_5yr,emp_ysypypp_5yr,x_gender_desc
2013,0,15-19,0,252474,2079,1503,1005,342,195,13110,3117,2142,1419,534,480,18096,9507,7488,2427,13542,11544,2598,All
2013,0,15-19,0,125673,1062,759,585,144,96,7380,1632,1059,807,204,216,9999,5610,4158,1704,7806,6390,1815,Female
2013,0,15-19,0,126798,1020,744,420,195,99,5730,1485,1083,609,330,261,8097,3897,3330,723,5736,5154,783,Male
2013,0,15-19,1,16506,1887,1263,1002,312,192,5823,2556,1581,1266,363,318,7296,2637,966,1941,3858,2289,1995,All
2013,0,15-19,1,9507,987,660,585,132,93,3405,1371,828,747,159,162,4290,1800,582,1374,2559,1425,1407,Female
2013,0,15-19,1,7002,900,603,417,177,99,2418,1185,756,519,204,156,3006,840,384,567,1302,864,588,Male
2013,0,20-24,0,264615,6243,5499,2874,1320,531,13245,35859,21948,13674,4509,13299,65238,471,345,126,18480,18366,135,All
2013,0,20-24,0,131787,3000,2472,1566,543,258,6486,17484,9804,7167,1776,5385,32307,333,210,123,9822,9714,132,Female
2013,0,20-24,0,132828,3243,3024,1308,780,276,6756,18375,12144,6507,2733,7914,32934,138,135,0,8655,8652,0,Male
2013,0,20-24,1,60606,5883,4875,2853,1275,528,12024,20112,11802,9108,2337,5853,31062,258,138,123,6867,6756,132,All
2013,0,20-24,1,36633,2862,2244,1554,522,255,5967,10917,5829,5229,1041,2763,17538,201,84,120,4236,4125,132,Female
2013,0,20-24,1,23970,3021,2631,1299,753,276,6060,9192,5973,3879,1299,3090,13521,54,51,0,2631,2628,0,Male
2013,1,15-19,0,6219,63,39,87,21,15,813,123,66,120,24,39,1035,648,450,291,822,651,306,All
2013,1,15-19,0,2097,21,0,30,0,0,261,42,15,45,0,0,327,213,132,117,267,198,120,Female
2013,1,15-19,0,4122,39,30,57,18,12,552,81,51,78,24,33,705,435,318,171,555,456,186,Male
2013,1,15-19,1,3144,60,36,84,21,15,528,108,57,123,21,33,690,372,186,258,495,339,264,All
2013,1,15-19,1,1179,21,0,30,0,0,201,45,15,45,0,0,261,150,75,108,198,132,111,Female
2013,1,15-19,1,1965,36,24,57,18,12,330,63,42,75,21,27,432,222,114,147,300,210,153,Male
2013,1,20-24,0,8460,780,516,348,177,111,1533,3993,1866,1407,465,1488,5562,18,12,0,1155,1152,0,All
2013,1,20-24,0,1089,69,36,66,0,12,159,516,147,216,24,126,705,0,0,0,135,135,0,Female
2013,1,20-24,0,7371,708,483,282,171,99,1374,3477,1716,1191,444,1362,4860,12,0,0,1017,1017,0,Male
2013,1,20-24,1,5646,765,486,348,174,108,1479,3120,1449,1179,351,1077,4158,18,12,0,852,852,0,All
2013,1,20-24,1,945,69,36,63,0,12,156,474,135,201,18,111,633,0,0,0,120,120,0,Female
2013,1,20-24,1,4701,693,450,282,168,93,1320,2646,1314,978,333,966,3525,12,0,0,729,729,0,Male
2013,2,15-19,0,11442,0,24,33,0,0,2895,39,27,36,12,0,3030,2880,2118,1221,3006,2283,1251,All
2013,2,15-19,0,5109,0,0,30,0,0,1434,18,0,33,0,0,1494,1428,966,711,1488,1035,729,Female
2013,2,15-19,0,6333,0,15,0,0,0,1458,18,18,0,0,0,1536,1449,1152,510,1521,1248,522,Male
2013,2,15-19,1,1266,0,0,33,0,0,1053,36,0,36,0,0,1065,1047,390,1002,1059,441,1005,All
2013,2,15-19,1,687,0,0,30,0,0,612,18,0,30,0,0,621,612,201,591,618,228,594,Female
2013,2,15-19,1,579,0,0,0,0,0,441,15,0,0,0,0,444,438,186,408,441,216,411,Male
2013,2,20-24,0,9240,753,573,396,201,87,1584,4224,2265,1797,534,1704,6123,36,18,18,1347,1329,21,All
2013,2,20-24,0,2943,210,138,177,48,33,501,1374,543,681,114,384,1977,24,0,15,447,435,18,Female
2013,2,20-24,0,6297,543,435,222,156,54,1083,2853,1722,1113,420,1323,4149,15,0,0,897,897,0,Male
2013,2,20-24,1,5787,729,528,393,198,87,1503,3138,1611,1479,384,1110,4350,27,0,18,939,921,18,All
2013,2,20-24,1,2529,210,135,177,45,33,489,1233,465,633,99,318,1752,18,0,15,393,378,18,Female
2013,2,20-24,1,3258,519,393,219,150,54,1014,1908,1146,846,285,789,2595,0,0,0,543,543,0,Male
2013,3,15-19,0,7299,87,45,231,0,0,3357,318,87,333,15,51,3582,3276,1020,2661,3441,1488,2682,All
2013,3,15-19,0,7299,87,45,231,0,0,3357,318,87,333,12,48,3582,3276,1020,2658,3441,1488,2685,Female
2013,3,15-19,1,3711,87,42,231,0,0,2676,309,81,327,12,48,2832,2595,423,2523,2706,831,2532,All
