year,risk_factors_2plus_by15,reg,age_desc,x_gender_desc,all,denom,denom_adj,pp_sch,pp_ter,pp_sempIT,pp_semp,pp_lemp,pp_cust,pp_lt6_neet,pp_st6_neet,pp1_ben,pp1_ws_empl
2013,0,Auckland Region,15-19,All,85941,1031316,1008933,686004,152601,5958,42102,48552,273,44148,29301,28866,270207
2013,0,Auckland Region,15-19,Female,42063,504732,493062,337128,81174,879,15048,24015,0,21003,13806,16041,136878
2013,0,Auckland Region,15-19,Male,43881,526584,515871,348876,71424,5076,27054,24537,270,23142,15495,12825,133326
2013,0,Auckland Region,20-24,All,90978,1091736,1056387,2415,336822,31389,378717,129276,1701,124329,51741,122472,726804
2013,0,Auckland Region,20-24,Female,45075,540924,521841,1068,183105,5640,169446,65040,75,72720,24747,76893,346887
2013,0,Auckland Region,20-24,Male,45900,550812,534546,1344,153717,25749,209268,64236,1626,51609,26994,45579,379917
2013,0,Bay of Plenty Region,15-19,All,15549,186600,183951,126489,22227,1602,9240,10224,66,9300,4806,7185,61176
2013,0,Bay of Plenty Region,15-19,Female,7521,90240,88896,62493,11295,204,3180,5343,0,4332,2055,3870,30606
2013,0,Bay of Plenty Region,15-19,Male,8031,96360,95058,63996,10932,1404,6060,4881,63,4968,2751,3315,30570
2013,0,Bay of Plenty Region,20-24,All,12222,146676,142779,360,31788,6228,52230,20373,594,24537,6672,27894,96279
2013,0,Bay of Plenty Region,20-24,Female,5934,71208,69351,168,18009,1107,20256,11001,66,15714,3030,17682,42201
2013,0,Bay of Plenty Region,20-24,Male,6291,75468,73428,195,13779,5121,31974,9375,528,8823,3639,10212,54078
2013,0,Canterbury Region,15-19,All,31014,372192,366480,244068,49962,5700,29763,19839,87,10116,6948,8529,154476
2013,0,Canterbury Region,15-19,Female,14841,178092,175104,121623,24753,729,9681,10551,0,4890,2877,4758,74760
2013,0,Canterbury Region,15-19,Male,16176,194100,191376,122445,25209,4968,20079,9288,87,5223,4074,3768,79716
2013,0,Canterbury Region,20-24,All,32538,390456,380970,2940,113112,21036,159948,39591,516,30861,12969,32826,294522
2013,0,Canterbury Region,20-24,Female,15033,180420,175836,1608,57222,3918,65373,22383,15,19452,5865,20904,131316
2013,0,Canterbury Region,20-24,Male,17505,210036,205134,1329,55893,17121,94575,17205,501,11409,7104,11922,163206
2013,0,Gisborne Region,15-19,All,2610,31308,30945,20778,3465,354,1752,1782,42,1965,798,1557,10563
2013,0,Gisborne Region,15-19,Female,1284,15396,15207,10635,1620,81,597,822,0,1098,351,873,5172
2013,0,Gisborne Region,15-19,Male,1326,15912,15741,10146,1845,276,1158,957,42,867,450,681,5394
2013,0,Gisborne Region,20-24,All,2049,24576,24063,84,5340,1416,7710,3633,63,4440,1374,5769,15477
2013,0,Gisborne Region,20-24,Female,954,11448,11211,36,2904,153,2673,1881,0,2937,621,3876,6084
2013,0,Gisborne Region,20-24,Male,1095,13128,12852,51,2433,1263,5037,1752,63,1503,753,1896,9393
2013,0,Hawke's Bay Region,15-19,All,8817,105828,104493,73896,11049,855,5469,5622,45,4986,2571,4680,36075
2013,0,Hawke's Bay Region,15-19,Female,4266,51180,50550,36819,5556,147,1848,2697,0,2442,1038,2616,18027
2013,0,Hawke's Bay Region,15-19,Male,4554,54648,53940,37077,5493,708,3621,2925,39,2544,1533,2067,18048
2013,0,Hawke's Bay Region,20-24,All,6636,79656,77862,228,17682,3360,29541,11049,336,12135,3531,14697,54264
2013,0,Hawke's Bay Region,20-24,Female,3285,39444,38580,93,10158,762,11880,6039,0,7998,1644,9657,24396
2013,0,Hawke's Bay Region,20-24,Male,3351,40212,39282,135,7521,2598,17661,5007,336,4134,1887,5040,29868
2013,0,Manawatu-Wanganui Region,15-19,All,12708,152472,150795,101199,19608,1362,8787,8436,39,7839,3528,7590,50487
2013,0,Manawatu-Wanganui Region,15-19,Female,6144,73716,72828,50034,10008,282,2817,4374,0,3786,1533,4191,24855
2013,0,Manawatu-Wanganui Region,15-19,Male,6561,78756,77967,51168,9600,1077,5970,4062,42,4053,1995,3396,25629
2013,0,Manawatu-Wanganui Region,20-24,All,12546,150552,147645,606,43788,6957,51321,18447,354,20160,6012,24285,101067
2013,0,Manawatu-Wanganui Region,20-24,Female,6183,74220,72774,297,24405,1533,20541,10407,21,12777,2793,14352,46362
2013,0,Manawatu-Wanganui Region,20-24,Male,6363,76332,74871,309,19383,5427,30780,8040,333,7383,3216,9933,54705
2013,0,Marlborough Region,15-19,All,2187,26256,25920,18249,2079,297,2076,1737,0,951,525,843,11640
2013,0,Marlborough Region,15-19,Female,1065,12804,12606,9336,957,78,666,873,0,471,225,441,5895
2013,0,Marlborough Region,15-19,Male,1119,13452,13314,8913,1122,222,1410,864,0,477,300,399,5742
2013,0,Marlborough Region,20-24,All,1701,20400,19986,30,3507,1368,9237,3060,33,2019,726,2166,15882
