eth,x_gender_desc,year,age,count,denom,denom_adj,pp_sch,pp_ter,pp_sempIT,pp_semp,pp_lemp,pp_cust,pp_lt6_neet,pp_st6_neet,pp1_ben,pp1_ws_empl,pp2_sch,pp2_ter,pp2_sempIT,pp2_semp,pp2_lemp,pp2_cust,pp2_lt6_neet,pp2_st6_neet,pp3_ben,pp3_ws_empl
ALL,All,2013,15,57741,692904,684114,664746,318,0,147,1365,0,14187,3348,0,55224,0.971688929,0.000464835,0,0.000214876,0.001995281,0,0.020737772,0.004893921,0,0.080723388
ALL,All,2013,16,58617,703416,693984,644958,13827,306,1989,4632,93,21582,6600,4968,117600,0.92935572,0.01992409,0.000440932,0.00286606,0.006674505,0.000134009,0.0310987,0.009510306,0.007158666,0.169456356
ALL,All,2013,17,59034,708408,698109,564264,49185,2823,14385,18828,219,35928,12486,18966,215052,0.808274926,0.070454614,0.004043781,0.020605665,0.02697,0.000313705,0.051464743,0.017885459,0.027167677,0.308049316
ALL,All,2013,18,59490,713892,701562,342369,144513,9903,56904,61038,885,56904,29052,49026,319272,0.488009613,0.205987496,0.014115645,0.081110436,0.087003002,0.001261471,0.081110436,0.041410453,0.069881208,0.455087362
ALL,All,2013,19,58764,705156,690582,36441,278865,18168,119604,106203,1560,83226,46521,98184,381510,0.052768534,0.403811568,0.026308244,0.173193046,0.153787675,0.002258964,0.120515739,0.067364918,0.14217573,0.552447066
ALL,All,2013,20,60072,720852,705345,6819,274131,25845,162099,100716,2475,94746,38505,113346,434034,0.009667609,0.388648108,0.036641643,0.229815197,0.142789699,0.003508921,0.134325755,0.054590307,0.16069583,0.615349935
ALL,All,2013,21,59400,712800,695541,4074,240690,28407,195546,90021,2793,100650,33357,118716,449424,0.005857311,0.346047178,0.040841589,0.281142305,0.129425871,0.004015579,0.144707501,0.047958352,0.170681527,0.646150263
ALL,All,2013,22,59706,716484,698223,771,194250,28092,245019,86436,3420,108678,31548,122946,473232,0.001104232,0.278206246,0.040233564,0.350917973,0.123794261,0.004898149,0.155649413,0.045183272,0.176084145,0.677766272
ALL,All,2013,23,58158,697884,679434,492,142026,26778,288369,78357,3405,112404,27600,120081,477987,0.000724132,0.209035756,0.039412217,0.42442533,0.115326875,0.005011524,0.165437703,0.040622047,0.176736813,0.703507625
ALL,All,2013,24,55371,664464,646185,495,105519,23844,309051,67683,3537,111786,24273,113730,463380,0.000766034,0.163295341,0.036899649,0.478270155,0.10474245,0.005473665,0.172993802,0.037563546,0.176002228,0.71710114
ALL,All,2014,15,58161,697932,688698,669483,369,0,150,1242,9,14454,2994,30,57657,0.972099527,0.000535794,0,0.000217802,0.001803403,1.30681E-05,0.020987428,0.004347334,4.35605E-05,0.083718843
ALL,All,2014,16,57960,695532,685917,637908,12765,276,2259,5322,39,21072,6273,4743,121614,0.930007567,0.018610123,0.000402381,0.003293401,0.007758956,5.68582E-05,0.030720918,0.009145421,0.006914831,0.177301335
ALL,All,2014,17,58659,703896,693408,566211,47268,2589,14442,18126,306,31734,12735,20325,220944,0.816562543,0.068167659,0.003733733,0.020827565,0.026140454,0.000441299,0.045765264,0.018365811,0.029311747,0.318634916
ALL,All,2014,18,58977,707724,695541,338889,143613,9771,58788,59055,900,54624,29901,48291,318045,0.487230803,0.206476685,0.014048058,0.084521258,0.084905131,0.001293957,0.078534551,0.042989558,0.069429408,0.457262764
ALL,All,2014,19,59121,709464,694854,26214,286704,19422,130713,104343,1656,78552,47241,90954,389754,0.037725911,0.412610419,0.027951196,0.188115777,0.150165358,0.002383234,0.113048209,0.067986944,0.130896562,0.560914955
ALL,All,2014,20,58857,706296,691704,6327,270321,24771,166905,95004,1752,88734,37887,103620,429135,0.009146976,0.390804448,0.035811561,0.24129541,0.137347767,0.002532875,0.128283196,0.054773429,0.149803962,0.620402658
ALL,All,2014,21,59685,716196,698982,3372,241527,28833,204201,88995,2748,95448,33861,111132,460260,0.004824159,0.345541087,0.041249989,0.29214057,0.127320875,0.003931432,0.136552873,0.048443308,0.158991219,0.658471892
ALL,All,2014,22,58836,706044,687960,645,187191,28854,250794,82887,2859,103515,31212,114240,472998,0.000937555,0.272095761,0.041941392,0.364547357,0.120482295,0.004155765,0.150466597,0.045368917,0.166056166,0.687537066
ALL,All,2014,23,59010,708132,689763,441,139617,27414,305157,77580,3315,107979,28263,114156,495210,0.00063935,0.202413003,0.039744086,0.442408479,0.112473415,0.004805999,0.156545074,0.040974944,0.165500324,0.71794225
ALL,All,2014,24,57792,693516,675210,366,106227,25035,335673,69567,3405,110334,24600,110883,495042,0.000542054,0.157324388,0.037077354,0.497138668,0.103030168,0.005042876,0.16340694,0.03643311,0.16422002,0.733167459
